,magnitude,people
662,-57.0,5
663,-9.5,5
664,-49.5,6
665,-24.5,6
666,-110.0,6
667,-42.0,6
668,-49.0,5
669,-39.5,7
670,-107.0,5
671,-85.5,5
672,8.0,5
673,-57.0,6
674,-82.5,7
675,-38.5,6
676,-59.5,5
677,-62.0,5
678,-32.5,5
679,-60.0,5
680,-63.0,5
681,-43.0,5
682,15.0,5
683,-70.5,5
684,-86.0,7
685,-41.0,5
686,-80.0,5
687,-87.0,5
688,-51.5,5
689,-49.0,5
690,-53.0,5
691,-18.0,6
692,15.0,5
693,-12.5,6
694,-63.0,5
695,-84.0,5
696,-31.5,6
697,-62.0,6
698,-12.0,6
699,-114.5,7
700,-14.5,7
701,-63.0,7
702,-38.5,5
703,-47.5,7
704,4.0,6
705,-54.5,6
706,-93.0,5
707,-54.5,5
708,-80.0,5
709,-8.5,5
710,-8.0,7
711,-93.0,5
712,-111.0,5
713,-21.0,6
714,-56.5,6
715,-35.5,7
716,-16.5,6
717,-76.5,7
718,7.5,5
719,-48.5,5
720,-1.5,6
721,-54.0,5
722,-45.0,7
723,-74.5,5
724,-115.5,5
725,-91.0,5
726,-33.0,5
727,-60.0,6
728,-63.0,5
729,-65.0,5
730,4.5,6
731,-48.5,7
732,-33.0,5
733,-54.5,5
734,4.5,5
735,-44.5,5
736,-69.0,5
737,-51.0,5
738,-44.5,6
739,24.0,5
740,-54.5,6
741,-22.5,7
742,-98.5,5
743,-16.5,6
744,-108.0,5
745,7.0,5
746,-50.0,4
747,-52.5,4
748,3.5,4
749,-55.5,5
750,-99.5,5
751,-47.5,5
752,-12.5,6
753,-54.0,4
754,-65.0,6
755,21.0,5
756,-34.5,5
757,-41.0,5
758,-69.0,7
759,15.5,7
760,-75.0,6
761,-39.0,5
762,-34.0,5
763,4.5,7
764,-12.0,5
765,-74.0,6
766,-18.5,5
767,-89.0,6
768,-51.5,6
769,-65.5,6
770,-55.5,5
771,-44.0,6
772,31.0,6
773,35.0,5
774,-46.5,4
775,-31.5,5
776,-70.0,5
777,-92.5,5
778,-50.5,7
779,4.5,5
780,-63.0,7
781,-20.0,5
782,-64.0,5
783,23.0,4
784,-67.0,5
785,-68.5,7
786,-19.5,5
787,19.5,5
788,-7.0,5
789,-30.0,5
790,-35.0,5
791,-93.0,5
792,-53.5,4
793,-17.0,5
794,-42.0,5
795,-128.5,6
796,-18.0,5
797,-16.5,5
798,-34.5,4
799,-75.0,4
800,-41.5,4
801,10.0,5
802,-54.0,5
803,-37.5,4
804,-24.5,4
805,32.5,5
806,35.0,5
807,-104.0,5
808,-58.0,5
809,-75.5,5
810,-15.5,7
811,-71.5,5
812,-87.5,5
813,-40.0,5
814,-60.5,4
815,-84.5,6
816,-49.0,5
817,-64.0,5
818,-57.0,6
819,-102.0,5
820,-99.0,5
821,-73.5,5
822,-43.0,5
823,-44.5,5
824,-48.0,4
825,-47.5,5
826,-69.0,5
827,-49.5,4
828,-62.0,5
829,-78.5,4
830,-20.0,6
831,7.0,7
832,-57.5,6
833,-75.5,8
834,-109.0,6
835,-17.5,7
836,-31.5,6
837,-66.5,6
838,-40.5,7
839,-3.0,5
840,8.0,5
841,-27.5,4
842,4.0,5
843,-38.0,4
844,-56.0,4
845,-28.5,5
846,-75.5,5
847,-64.5,3
848,-18.5,3
849,-68.0,5
850,-7.0,4
851,-83.0,4
852,-33.0,4
853,16.5,5
854,-54.0,4
855,-36.0,4
856,-60.0,6
857,-49.5,5
858,-24.5,5
859,-50.5,5
860,-47.0,5
861,-70.5,5
862,-43.5,6
863,-14.5,5
864,-81.5,5
865,-127.5,6
866,-55.5,6
867,-55.0,6
868,-61.0,6
869,-24.0,5
870,-67.0,5
871,-41.5,6
872,-40.5,6
873,-57.5,7
874,-36.0,9
875,-38.5,6
876,-58.0,5
877,-86.0,5
878,-12.5,5
879,-12.5,5
880,-38.0,5
881,-51.0,7
882,-20.0,6
883,-82.5,5
884,-37.5,6
885,-11.0,4
886,-4.0,5
887,0.0,5
888,-111.5,5
889,-50.0,5
890,-39.0,7
891,-42.0,5
892,-28.5,6
893,-18.5,5
894,-60.5,4
895,-99.0,6
896,-27.5,5
897,-57.0,6
898,-34.0,6
899,-91.0,6
900,-31.0,7
901,-23.0,6
902,-46.0,7
903,-23.5,6
904,-95.5,7
905,-27.5,5
906,-1.5,7
907,-32.0,7
908,-68.0,6
909,-19.5,5
910,-55.5,8
911,-56.0,7
912,-51.0,8
913,-110.5,7
914,-94.0,7
915,-118.0,8
916,-86.0,8
917,-54.5,7
918,-51.5,5
919,-49.0,5
920,-66.0,6
921,-39.0,6
922,-51.0,6
923,-113.5,7
924,-39.0,7
925,-48.5,6
926,-43.0,8
927,-51.5,6
928,-42.5,6
929,-38.5,9
930,-41.0,6
931,17.0,6
932,-86.0,4
933,-14.5,7
934,-20.5,6
935,-31.0,6
936,-40.0,7
937,-116.5,6
938,-51.0,5
939,-43.5,5
940,-25.5,7
941,-36.5,6
942,16.0,7
943,-76.5,6
944,-71.5,6
945,-61.0,6
946,-73.5,6
947,-62.0,5
948,-53.5,6
949,-91.5,7
950,-66.5,6
951,-49.0,7
952,-66.0,7
953,-113.0,6
954,-77.5,5
955,-9.0,7
956,-31.5,7
957,-49.0,6
958,-13.5,7
959,-62.0,6
960,1.5,6
961,-46.0,6
962,-8.0,6
963,-46.5,5
964,-44.0,7
965,-108.5,6
966,-16.0,8
967,-83.0,6
968,-40.5,8
969,-70.5,6
970,-13.5,7
971,-38.0,5
972,-94.0,6
973,-74.5,6
974,-65.5,5
975,-52.5,6
976,-19.0,5
977,-67.0,5
978,9.5,5
979,-33.5,5
980,-33.0,7
981,-107.0,6
982,-53.0,6
983,-34.0,7
984,-76.5,5
985,-60.5,5
986,-93.0,6
987,-65.5,6
988,-39.0,6
989,-78.5,5
990,-59.5,5
991,-59.5,6
992,-92.0,7
993,-51.5,6
994,-24.5,6
995,-22.0,6
996,-41.5,6
997,-55.0,5
998,-86.0,6
999,-42.5,7
1000,-48.5,6
1001,-106.0,6
1002,-47.0,5
1003,-45.5,5
1004,-56.0,5
1005,-95.0,6
1006,-10.5,6
1007,-68.5,7
1008,-111.5,5
1009,-19.0,5
1010,-61.5,6
1011,-96.0,6
1012,-58.5,6
1013,-32.0,7
1014,0.0,9
1015,-93.0,7
1016,-120.0,8
1017,-28.5,6
1018,-58.5,6
1019,-57.5,7
1020,-28.0,6
1021,-61.0,6
1022,-43.5,6
1023,-52.5,6
1024,-63.5,7
1025,-28.0,6
1026,52.0,5
1027,-45.0,6
1028,-86.0,5
1029,-48.0,5
1030,-3.0,5
1031,-75.0,5
1032,-145.0,5
1033,-18.0,5
1034,-51.5,6
1035,-41.0,7
1036,-80.5,7
1037,-57.5,7
1038,-43.0,7
1039,-67.5,8
1040,-14.5,8
1041,-64.0,7
1042,-84.5,8
1043,-36.0,8
1044,-66.5,8
1045,-38.0,8
1046,-72.5,8
1047,10.0,7
1048,-82.0,6
1049,-63.0,6
1050,-83.0,5
1051,9.0,6
1052,-58.5,5
1053,-48.0,5
1054,-64.5,5
1055,-27.5,6
1056,-12.0,6
1057,-69.0,5
1058,-56.5,6
1059,-22.0,5
1060,-85.5,5
1061,-13.5,5
1062,-40.0,5
1063,-66.5,5
1064,-34.5,5
1065,-29.0,5
1066,-28.5,6
1067,-63.0,7
1068,-58.5,6
1069,-37.5,5
1070,-69.0,6
1071,-3.0,5
1072,-30.0,5
1073,-68.0,5
1074,-96.0,5
1075,-95.0,5
1076,-28.0,5
1077,-91.5,5
1078,-22.0,5
1079,-95.5,5
1080,-33.5,5
1081,-40.0,5
1082,-36.5,5
1083,-66.5,6
1084,-122.0,7
1085,-91.5,7
1086,-95.0,7
1087,-80.0,7
1088,-35.0,5
1089,-56.0,5
1090,-40.5,5
1091,2.0,5
1092,-81.5,5
1093,-14.0,5
1094,-35.0,5
1095,-53.5,5
1096,28.0,5
1097,-60.0,5
1098,-20.0,5
1099,-85.0,6
1100,-69.0,6
1101,-3.0,6
1102,-60.0,5
1103,-83.5,5
1104,-22.0,6
1105,-21.0,7
1106,-21.5,7
1107,-123.0,6
1108,-10.0,5
1109,-67.5,5
1110,-23.5,5
1111,-38.0,7
1112,-80.5,5
1113,19.0,5
1114,-86.0,6
1115,-146.0,5
1116,-79.0,5
1117,-80.5,6
1118,-71.5,5
1119,-52.5,5
1120,28.0,6
1121,-83.0,8
1122,-37.5,8
1123,-80.5,6
1124,-41.5,6
1125,-142.5,7
1126,-13.5,8
1127,-51.0,6
1128,-40.0,6
1129,-15.0,6
1130,-20.5,7
1131,-50.5,8
1132,-61.0,7
1133,-10.0,8
1134,-18.5,7
1135,-12.5,7
1136,-4.5,7
1137,-9.0,6
1138,-133.5,5
1139,-3.0,6
1140,-56.0,5
1141,-89.0,4
1142,-7.0,6
1143,-36.5,5
1144,-28.0,5
1145,-10.5,5
1146,-46.0,4
1147,-48.5,8
1148,-37.0,5
1149,-31.5,6
1150,-15.5,5
1151,-77.5,5
1152,-93.5,7
1153,-30.0,6
1154,-51.5,6
1155,-64.5,6
1156,-5.0,5
1157,-13.0,6
1158,-60.0,6
1159,-55.5,7
1160,-47.5,6
1161,-98.5,6
1162,-3.0,7
1163,-74.5,6
1164,-65.0,5
1165,-52.5,7
1166,-19.0,8
1167,-63.0,6
1168,-47.5,5
1169,-71.0,5
1170,-34.0,6
1171,-76.0,5
1172,-18.0,5
1173,-56.0,5
1174,-30.5,6
1175,-48.5,5
1176,-57.5,4
1177,-18.5,4
1178,-15.0,5
1179,-17.5,4
1180,-104.5,5
1181,-78.5,3
1182,-79.5,4
1183,-72.0,7
1184,-72.5,7
1185,-17.0,4
1186,-59.5,6
1187,-70.5,6
1188,-11.5,7
1189,-38.0,5
1190,-81.5,6
1191,12.5,7
1192,-53.0,7
1193,-46.0,5
1194,-68.5,5
1195,-60.0,6
1196,-36.0,7
1197,3.5,7
1198,-66.5,6
1199,-1.0,5
1200,-73.5,6
1201,-47.5,5
1202,-72.5,5
1203,-40.5,5
1204,-70.0,5
1205,-52.5,5
1206,-6.0,6
1207,-23.5,6
1208,-89.5,7
1209,-86.5,7
1210,-18.5,7
1211,-56.0,6
1212,-56.0,5
1213,-47.0,5
1214,-28.0,5
1215,-77.0,7
1216,-10.5,8
1217,25.0,6
1218,-33.0,6
1219,-16.0,6
1220,-113.0,5
1221,-59.5,6
1222,-26.0,8
1223,49.5,5
